id_atlhete_modality,Medal,id
4428,Gold,749
4437,Bronze,750
4438,Silver,751
4449,Bronze,752
4451,Gold,753
4468,Gold,754
4469,Gold,755
4470,Silver,756
4471,Bronze,757
4488,Silver,758
4495,Bronze,759
4496,Gold,760
4497,Silver,761
4499,Silver,762
4507,Silver,763
4511,Silver,764
4515,Silver,765
4517,Silver,766
4518,Gold,767
4545,Silver,768
4551,Bronze,769
4553,Bronze,770
4555,Bronze,771
4556,Silver,772
4566,Bronze,773
4570,Silver,774
4571,Bronze,775
4572,Gold,776
4573,Silver,777
4574,Gold,778
4576,Bronze,779
4578,Bronze,780
4588,Bronze,781
4590,Gold,782
4602,Bronze,783
4606,Bronze,784
4620,Gold,785
4621,Bronze,786
4638,Gold,787
4648,Silver,788
4650,Bronze,789
4653,Gold,790
4656,Gold,791
4657,Bronze,792
4660,Gold,793
4687,Gold,794
4708,Silver,795
4712,Silver,796
4716,Gold,797
4721,Gold,798
4722,Gold,799
4725,Bronze,800
4731,Bronze,801
4736,Silver,802
4742,Bronze,803
4785,Bronze,804
4787,Bronze,805
4795,Bronze,806
4799,Bronze,807
4803,Gold,808
4804,Gold,809
4806,Silver,810
4809,Gold,811
4810,Silver,812
4829,Silver,813
4833,Gold,814
4834,Gold,815
4839,Bronze,816
4840,Silver,817
4841,Bronze,818
4851,Silver,819
4852,Bronze,820
4859,Gold,821
4869,Bronze,822
4872,Bronze,823
4889,Silver,824
4897,Bronze,825
4898,Bronze,826
4911,Bronze,827
4916,Bronze,828
4942,Silver,829
4945,Gold,830
4957,Silver,831
4958,Bronze,832
4959,Silver,833
4961,Silver,834
4962,Bronze,835
4984,Bronze,836
4988,Bronze,837
4989,Bronze,838
5023,Gold,839
5028,Silver,840
5036,Bronze,841
5037,Silver,842
5040,Silver,843
5048,Bronze,844
5053,Bronze,845
5055,Silver,846
5060,Bronze,847
5067,Gold,848
5083,Gold,849
5114,Gold,850
5115,Bronze,851
5124,Silver,852
5131,Bronze,853
5132,Bronze,854
5134,Gold,855
5135,Silver,856
5137,Silver,857
5138,Bronze,858
5139,Bronze,859
5143,Gold,860
5148,Gold,861
5150,Bronze,862
5159,Bronze,863
5180,Bronze,864
5184,Bronze,865
5186,Gold,866
5187,Silver,867
5190,Gold,868
5192,Silver,869
5194,Silver,870
5195,Silver,871
5205,Bronze,872
5208,Silver,873
5214,Bronze,874
5215,Silver,875
5225,Silver,876
5228,Silver,877
5230,Gold,878
5231,Silver,879
5245,Silver,880
5252,Bronze,881
5259,Gold,882
5260,Gold,883
5262,Bronze,884
5279,Bronze,885
5281,Gold,886
5285,Silver,887
5294,Silver,888
5305,Gold,889
5312,Gold,890
5314,Gold,891
5321,Gold,892
5335,Bronze,893
5353,Gold,894
5354,Gold,895
5360,Bronze,896
5361,Silver,897
5363,Silver,898
5367,Silver,899
5369,Bronze,900
5370,Silver,901
5377,Bronze,902
5378,Gold,903
5379,Gold,904
5381,Silver,905
5390,Gold,906
5395,Bronze,907
5398,Gold,908
5406,Gold,909
5408,Gold,910
5410,Gold,911
5418,Silver,912
5419,Gold,913
5421,Gold,914
5423,Silver,915
5424,Bronze,916
5441,Bronze,917
5452,Silver,918
5455,Silver,919
5467,Bronze,920
5471,Gold,921
5472,Silver,922
5476,Silver,923
5477,Bronze,924
5478,Silver,925
5484,Gold,926
5494,Silver,927
5495,Bronze,928
5508,Silver,929
5511,Bronze,930
5517,Silver,931
5521,Silver,932
5522,Silver,933
5523,Bronze,934
5525,Silver,935
5528,Bronze,936
5531,Silver,937
5532,Bronze,938
5533,Gold,939
5536,Bronze,940
5548,Gold,941
5549,Gold,942
5552,Gold,943
5553,Gold,944
5557,Bronze,945
5561,Silver,946
5570,Silver,947
5582,Silver,948
5587,Bronze,949
5594,Bronze,950
5613,Silver,951
5618,Gold,952
5628,Bronze,953
5638,Silver,954
5639,Silver,955
5656,Gold,956
5663,Silver,957
5666,Bronze,958
5667,Gold,959
5671,Silver,960
5673,Silver,961
5704,Bronze,962
5709,Bronze,963
5715,Gold,964
5716,Gold,965
5717,Gold,966
5721,Silver,967
5722,Bronze,968
5728,Bronze,969
5740,Silver,970
5741,Silver,971
5744,Bronze,972
5751,Bronze,973
5754,Bronze,974
5755,Silver,975
5757,Silver,976
5758,Bronze,977
5761,Bronze,978
5763,Silver,979
5766,Bronze,980
5768,Bronze,981
5769,Bronze,982
5803,Bronze,983
5808,Gold,984
5842,Gold,985
5843,Bronze,986
5845,Silver,987
5857,Bronze,988
5859,Gold,989
5863,Bronze,990
5864,Bronze,991
5865,Silver,992
5866,Bronze,993
5879,Bronze,994
5880,Silver,995
5886,Bronze,996
5900,Bronze,997
5905,Bronze,998
5917,Gold,999
5918,Gold,1000
5926,Silver,1001
5929,Silver,1002
5931,Silver,1003
5934,Gold,1004
5936,Gold,1005
5937,Gold,1006
5938,Gold,1007
5939,Gold,1008
5940,Silver,1009
5941,Bronze,1010
5943,Silver,1011
5945,Bronze,1012
5959,Silver,1013
5962,Bronze,1014
5963,Bronze,1015
5964,Bronze,1016
5965,Gold,1017
5966,Bronze,1018
5974,Gold,1019
5978,Bronze,1020
5982,Bronze,1021
5991,Bronze,1022
5993,Bronze,1023
6003,Bronze,1024
6030,Silver,1025
6035,Bronze,1026
6040,Silver,1027
6042,Gold,1028
6043,Gold,1029
6044,Gold,1030
6052,Silver,1031
6056,Silver,1032
6057,Gold,1033
6058,Silver,1034
6108,Bronze,1035
6109,Bronze,1036
6112,Gold,1037
6118,Bronze,1038
6124,Bronze,1039
6144,Bronze,1040
6145,Bronze,1041
6154,Gold,1042
6157,Gold,1043
6158,Bronze,1044
6159,Bronze,1045
6160,Gold,1046
6163,Bronze,1047
6164,Gold,1048
6166,Gold,1049
6167,Silver,1050
6168,Silver,1051
6173,Gold,1052
6174,Bronze,1053
6182,Silver,1054
6188,Silver,1055
6192,Silver,1056
6193,Silver,1057
6194,Bronze,1058
6200,Gold,1059
6201,Gold,1060
6202,Silver,1061
6203,Silver,1062
6206,Silver,1063
6208,Silver,1064
6252,Gold,1065
6271,Silver,1066
6273,Silver,1067
6285,Gold,1068
6286,Bronze,1069
6312,Gold,1070
6331,Gold,1071
6353,Gold,1072
6354,Silver,1073
6361,Gold,1074
6370,Gold,1075
6371,Bronze,1076
6372,Silver,1077
6377,Bronze,1078
6386,Bronze,1079
6387,Bronze,1080
6396,Gold,1081
6406,Bronze,1082
6422,Bronze,1083
6428,Bronze,1084
6430,Gold,1085
6432,Silver,1086
6435,Bronze,1087
6446,Silver,1088
6447,Silver,1089
6448,Bronze,1090
6451,Bronze,1091
6454,Gold,1092
6463,Bronze,1093
6483,Bronze,1094
6484,Silver,1095
6485,Silver,1096
6490,Silver,1097
6491,Silver,1098
6492,Bronze,1099
6493,Silver,1100
6498,Bronze,1101
6499,Bronze,1102
6513,Silver,1103
6514,Bronze,1104
6515,Bronze,1105
6536,Gold,1106
6537,Gold,1107
6541,Silver,1108
6544,Silver,1109
6550,Silver,1110
6559,Bronze,1111
6566,Silver,1112
6571,Silver,1113
6578,Silver,1114
6589,Bronze,1115
6591,Bronze,1116
6592,Bronze,1117
6595,Bronze,1118
6596,Bronze,1119
6600,Gold,1120
6602,Bronze,1121
6605,Gold,1122
6606,Silver,1123
6608,Silver,1124
6609,Silver,1125
6611,Bronze,1126
6615,Bronze,1127
6617,Silver,1128
6619,Bronze,1129
6639,Gold,1130
6648,Bronze,1131
6650,Bronze,1132
6651,Silver,1133
6652,Bronze,1134
6653,Gold,1135
6656,Gold,1136
6657,Gold,1137
6675,Bronze,1138
6685,Silver,1139
6686,Bronze,1140
6687,Silver,1141
6694,Silver,1142
6698,Silver,1143
6699,Silver,1144
6700,Bronze,1145
6720,Bronze,1146
6729,Bronze,1147
6747,Bronze,1148
6748,Silver,1149
6750,Silver,1150
6751,Silver,1151
6753,Silver,1152
6754,Bronze,1153
6765,Bronze,1154
6766,Silver,1155
6768,Bronze,1156
6769,Silver,1157
6774,Silver,1158
6780,Bronze,1159
