Sport,Event,id
Canoeing,"Canoeing Women's Kayak Singles, 200 metres",430
Snowboarding,Snowboarding Men's Parallel Giant Slalom,431
Cycling,Cycling Men's Omnium,432
Athletics,"Athletics Men's 3,000 metres Walk",433
Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",434
Art Competitions,"Art Competitions Mixed Painting, Unknown Event",435
Art Competitions,Art Competitions Mixed Music,436
Athletics,Athletics Men's 60 metres,437
Athletics,"Athletics Men's 5,000 metres, Team",438
Freestyle Skiing,Freestyle Skiing Women's Slopestyle,439
Snowboarding,Snowboarding Women's Parallel Giant Slalom,440
Freestyle Skiing,Freestyle Skiing Women's Halfpipe,441
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,442
Wrestling,"Wrestling Men's Lightweight, Greco-Roman",443
Snowboarding,Snowboarding Men's Giant Slalom,444
Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",445
Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",446
Taekwondo,Taekwondo Men's Heavyweight,447
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",448
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,449
Boxing,Boxing Women's Lightweight,450
Shooting,"Shooting Men's Running Target, 50 metres",451
