id,id_modality,athlete_id,id_olympic,Age,Height,Weight
2901,194,45610,4,49.0,173.0,63.0
2902,194,45610,2,57.0,173.0,63.0
2903,195,45610,2,57.0,173.0,63.0
2904,194,45610,5,61.0,173.0,63.0
2905,195,45610,5,61.0,173.0,63.0
2906,8,45678,7,33.0,,
2907,238,45766,40,20.0,176.0,78.0
2908,219,45766,29,22.0,176.0,78.0
2909,237,45766,29,22.0,176.0,78.0
2910,238,45766,29,22.0,176.0,78.0
2911,238,45766,30,26.0,176.0,78.0
2912,387,45815,3,30.0,189.0,80.0
2913,22,45821,5,20.0,182.0,77.0
2914,25,45824,8,18.0,199.0,100.0
2915,81,45824,12,22.0,199.0,100.0
2916,65,45824,3,27.0,199.0,100.0
2917,25,45824,4,31.0,199.0,100.0
2918,148,45825,4,26.0,175.0,67.0
2919,149,45825,4,26.0,175.0,67.0
2920,33,45825,4,26.0,175.0,67.0
2921,81,45965,3,22.0,196.0,92.0
2922,82,45965,4,26.0,196.0,92.0
2923,271,45965,1,30.0,196.0,92.0
2924,50,45978,3,30.0,182.0,80.0
2925,50,45978,1,38.0,182.0,80.0
2926,241,45989,17,27.0,170.0,64.0
2927,50,45990,12,24.0,172.0,72.0
2928,50,45990,3,28.0,172.0,72.0
2929,50,45990,4,32.0,172.0,72.0
2930,50,45990,1,36.0,172.0,72.0
2931,10,45993,6,,,
2932,166,46003,6,35.0,,
2933,131,46010,12,24.0,163.0,58.0
2934,299,46010,12,24.0,163.0,58.0
2935,131,46010,3,28.0,163.0,58.0
2936,299,46010,3,28.0,163.0,58.0
2937,31,46011,3,25.0,198.0,97.0
2938,31,46011,4,29.0,198.0,97.0
2939,199,46014,24,35.0,187.0,86.0
2940,58,46040,2,26.0,178.0,57.0
2941,114,46040,2,26.0,178.0,57.0
2942,140,46068,36,24.0,,
2943,139,46068,36,24.0,,
2944,298,46073,28,23.0,,
2945,340,46112,6,,,
2946,388,46112,6,,,
2947,128,46126,1,25.0,198.0,115.0
2948,128,46126,2,29.0,198.0,115.0
2949,128,46126,5,33.0,198.0,115.0
2950,364,46150,13,,,
2951,97,46181,3,21.0,176.0,72.0
2952,295,46181,3,21.0,176.0,72.0
2953,96,46198,11,30.0,192.0,92.0
2954,65,46206,6,32.0,,
2955,12,46211,4,33.0,187.0,76.0
2956,343,46213,9,37.0,185.0,83.0
2957,164,46214,11,21.0,169.0,75.0
2958,196,46218,3,22.0,178.0,71.0
2959,120,46218,3,22.0,178.0,71.0
2960,196,46218,4,25.0,178.0,71.0
2961,115,46223,15,22.0,182.0,75.0
2962,336,46227,3,25.0,168.0,53.0
2963,336,46227,4,29.0,168.0,53.0
2964,162,46229,3,25.0,162.0,63.0
2965,162,46229,4,29.0,162.0,63.0
2966,162,46229,1,33.0,162.0,63.0
2967,162,46229,2,37.0,162.0,63.0
2968,168,46255,5,23.0,180.0,90.0
2969,250,46294,5,23.0,198.0,91.0
2970,66,46350,14,19.0,,
2971,140,46352,21,28.0,183.0,102.0
2972,140,46352,22,32.0,183.0,102.0
2973,139,46352,22,32.0,183.0,102.0
2974,165,46357,9,15.0,159.0,56.0
2975,153,46357,9,15.0,159.0,56.0
2976,182,46357,9,15.0,159.0,56.0
2977,14,46360,10,21.0,175.0,68.0
2978,70,46361,12,21.0,164.0,48.0
2979,356,46361,3,25.0,164.0,48.0
2980,225,46363,4,29.0,166.0,60.0
2981,389,46381,1,23.0,177.0,68.0
2982,1,46411,10,27.0,181.0,77.0
2983,42,46450,8,23.0,174.0,64.0
2984,42,46450,12,27.0,174.0,64.0
2985,42,46450,3,31.0,174.0,64.0
2986,23,46454,8,22.0,,
2987,390,46463,26,28.0,,
2988,41,46463,26,28.0,,
2989,96,46538,14,23.0,,
2990,7,46565,3,30.0,183.0,89.0
2991,285,46606,12,24.0,180.0,73.0
2992,240,46606,12,24.0,180.0,73.0
2993,285,46606,3,28.0,180.0,73.0
2994,1,46755,11,26.0,179.0,74.0
2995,5,46756,3,25.0,186.0,86.0
2996,5,46756,4,29.0,186.0,86.0
2997,42,46758,11,21.0,165.0,57.0
2998,42,46758,8,25.0,165.0,57.0
2999,42,46758,12,29.0,165.0,57.0
3000,42,46758,3,33.0,165.0,57.0
3001,196,46763,14,18.0,,
3002,82,46778,8,21.0,,
3003,289,46792,15,18.0,157.0,57.0
3004,104,46793,35,,178.0,
3005,20,46793,35,,178.0,
3006,22,46793,35,,178.0,
3007,238,46795,18,19.0,178.0,71.0
3008,237,46795,21,23.0,178.0,71.0
3009,164,46824,15,25.0,167.0,74.0
3010,67,46847,12,32.0,170.0,77.0
3011,198,46848,20,16.0,183.0,80.0
3012,120,46848,20,16.0,183.0,80.0
3013,222,46855,18,29.0,184.0,87.0
3014,222,46855,21,33.0,184.0,87.0
3015,25,46857,12,24.0,165.0,54.0
3016,25,46857,3,28.0,165.0,54.0
3017,391,46858,11,30.0,156.0,52.0
3018,89,46874,6,,,
3019,12,46885,9,29.0,181.0,67.0
3020,13,46885,9,29.0,181.0,67.0
3021,202,46893,6,19.0,,
3022,126,46899,3,23.0,190.0,78.0
3023,286,46955,3,24.0,170.0,56.0
3024,299,46955,3,24.0,170.0,56.0
3025,24,46960,8,21.0,183.0,80.0
